subsistema_id,subsistema,data_hora,carga_mw_media,hora,dia,mes,dia_semana
S,SUL,2025-01-02 19:00:00,14928.48699999,19,2,1,Thursday
SE,SUDESTE,2025-01-02 19:00:00,49489.095,19,2,1,Thursday
N,NORTE,2025-01-02 20:00:00,7974.428,20,2,1,Thursday
NE,NORDESTE,2025-01-02 20:00:00,15228.221,20,2,1,Thursday
S,SUL,2025-01-02 20:00:00,15612.218,20,2,1,Thursday
SE,SUDESTE,2025-01-02 20:00:00,49364.485,20,2,1,Thursday
N,NORTE,2025-01-02 21:00:00,8138.98599999,21,2,1,Thursday
NE,NORDESTE,2025-01-02 21:00:00,15698.69,21,2,1,Thursday
S,SUL,2025-01-02 21:00:00,15465.006,21,2,1,Thursday
SE,SUDESTE,2025-01-02 21:00:00,48556.001,21,2,1,Thursday
N,NORTE,2025-01-02 22:00:00,8265.787,22,2,1,Thursday
NE,NORDESTE,2025-01-02 22:00:00,15825.67199999,22,2,1,Thursday
S,SUL,2025-01-02 22:00:00,14931.00099999,22,2,1,Thursday
SE,SUDESTE,2025-01-02 22:00:00,46548.32599999,22,2,1,Thursday
N,NORTE,2025-01-02 23:00:00,8256.72899999,23,2,1,Thursday
NE,NORDESTE,2025-01-02 23:00:00,15540.362,23,2,1,Thursday
S,SUL,2025-01-02 23:00:00,14030.604,23,2,1,Thursday
SE,SUDESTE,2025-01-02 23:00:00,44086.001,23,2,1,Thursday
N,NORTE,2025-01-03 00:00:00,8143.116,0,3,1,Friday
NE,NORDESTE,2025-01-03 00:00:00,15082.866,0,3,1,Friday
S,SUL,2025-01-03 00:00:00,13046.747,0,3,1,Friday
SE,SUDESTE,2025-01-03 00:00:00,41636.333,0,3,1,Friday
N,NORTE,2025-01-03 01:00:00,7926.532,1,3,1,Friday
NE,NORDESTE,2025-01-03 01:00:00,14720.23799999,1,3,1,Friday
S,SUL,2025-01-03 01:00:00,12292.58199999,1,3,1,Friday
SE,SUDESTE,2025-01-03 01:00:00,39781.181,1,3,1,Friday
N,NORTE,2025-01-03 02:00:00,7816.087,2,3,1,Friday
NE,NORDESTE,2025-01-03 02:00:00,14400.72599999,2,3,1,Friday
S,SUL,2025-01-03 02:00:00,11714.66,2,3,1,Friday
SE,SUDESTE,2025-01-03 02:00:00,38381.62399999,2,3,1,Friday
N,NORTE,2025-01-03 03:00:00,7683.237,3,3,1,Friday
NE,NORDESTE,2025-01-03 03:00:00,14156.80899999,3,3,1,Friday
S,SUL,2025-01-03 03:00:00,11432.737,3,3,1,Friday
SE,SUDESTE,2025-01-03 03:00:00,37633.48699999,3,3,1,Friday
N,NORTE,2025-01-03 04:00:00,7557.04099999,4,3,1,Friday
NE,NORDESTE,2025-01-03 04:00:00,13971.51399999,4,3,1,Friday
S,SUL,2025-01-03 04:00:00,11302.018,4,3,1,Friday
SE,SUDESTE,2025-01-03 04:00:00,37424.12399999,4,3,1,Friday
N,NORTE,2025-01-03 05:00:00,7433.44699999,5,3,1,Friday
NE,NORDESTE,2025-01-03 05:00:00,13381.03,5,3,1,Friday
S,SUL,2025-01-03 05:00:00,11222.264,5,3,1,Friday
SE,SUDESTE,2025-01-03 05:00:00,37609.651,5,3,1,Friday
N,NORTE,2025-01-03 06:00:00,7165.70199999,6,3,1,Friday
NE,NORDESTE,2025-01-03 06:00:00,12890.26699999,6,3,1,Friday
S,SUL,2025-01-03 06:00:00,11848.786,6,3,1,Friday
SE,SUDESTE,2025-01-03 06:00:00,38863.981,6,3,1,Friday
N,NORTE,2025-01-03 07:00:00,7189.17999999,7,3,1,Friday
NE,NORDESTE,2025-01-03 07:00:00,13070.708,7,3,1,Friday
S,SUL,2025-01-03 07:00:00,12896.18,7,3,1,Friday
SE,SUDESTE,2025-01-03 07:00:00,41380.67499999,7,3,1,Friday
N,NORTE,2025-01-03 08:00:00,7485.353,8,3,1,Friday
NE,NORDESTE,2025-01-03 08:00:00,13434.297,8,3,1,Friday
S,SUL,2025-01-03 08:00:00,13652.389,8,3,1,Friday
SE,SUDESTE,2025-01-03 08:00:00,43674.45599999,8,3,1,Friday
N,NORTE,2025-01-03 09:00:00,7678.801,9,3,1,Friday
NE,NORDESTE,2025-01-03 09:00:00,13510.841,9,3,1,Friday
S,SUL,2025-01-03 09:00:00,13916.263,9,3,1,Friday
SE,SUDESTE,2025-01-03 09:00:00,45192.74599999,9,3,1,Friday
N,NORTE,2025-01-03 10:00:00,7740.917,10,3,1,Friday
NE,NORDESTE,2025-01-03 10:00:00,13605.42699999,10,3,1,Friday
S,SUL,2025-01-03 10:00:00,14232.111,10,3,1,Friday
SE,SUDESTE,2025-01-03 10:00:00,46488.462,10,3,1,Friday
N,NORTE,2025-01-03 11:00:00,7697.791,11,3,1,Friday
NE,NORDESTE,2025-01-03 11:00:00,13668.007,11,3,1,Friday
S,SUL,2025-01-03 11:00:00,14774.10699999,11,3,1,Friday
SE,SUDESTE,2025-01-03 11:00:00,46637.57,11,3,1,Friday
N,NORTE,2025-01-03 12:00:00,7504.717,12,3,1,Friday
NE,NORDESTE,2025-01-03 12:00:00,13491.00799999,12,3,1,Friday
